UserId,SongID,LikeDate
1,111,2021-07-02
1,123,2021-07-03
1,198,2021-07-04
1,262,2021-07-05
1,345,2021-07-06
34,198,2021-12-08
34,353,2021-12-09
34,373,2021-12-10
34,928,2021-12-11
34,998,2022-12-12
34,576,2022-12-13
43,111,2023-03-01
43,123,2023-03-02
43,374,2023-03-03
43,423,2023-03-04
43,494,2023-03-05
43,262,2023-03-06
43,345,2023-03-07
45,655,2023-03-08
45,812,2023-03-09
45,845,2023-03-10
63,374,2023-03-15
63,423,2023-03-16
63,494,2023-03-17
63,576,2023-03-18
63,655,2023-03-19
63,812,2023-03-20
63,845,2023-03-21
63,928,2023-03-22
63,998,2023-03-23
72,198,2023-05-05
77,374,2023-05-06
77,423,2023-05-07
77,928,2023-05-08
77,998,2023-05-09
98,345,2023-10-01
134,111,2024-01-01
134,123,2024-01-02
134,198,2024-01-03
134,262,2024-01-04
134,345,2024-01-05
134,353,2024-01-06
134,373,2024-01-07
134,374,2024-01-08
134,423,2024-01-09
134,494,2024-01-10
134,576,2024-01-11
134,655,2024-01-12
134,812,2024-01-13
134,845,2024-01-14
134,928,2024-01-15
134,998,2024-01-16
